income,dti,credit_history,delinquencies,revolving_utilization,open_accounts,credit_card_limit,default
25000.0,0.043,8.78,2,0.322,11,5105.52,0
25000.0,0.03,10.11,1,0.508,7,15553.54,0
28088.65,0.203,6.36,0,0.593,2,15108.98,0
42564.67,0.037,4.55,0,0.217,8,10271.16,0
48720.23,0.161,4.74,1,0.314,11,9994.56,0
33331.69,0.104,6.71,2,0.479,2,14638.77,0
64993.34,0.201,5.91,0,0.807,13,10938.8,0
38173.18,0.09,5.26,2,0.404,3,17351.86,0
40421.24,0.105,5.86,1,0.521,1,14687.72,0
37500.62,0.495,4.83,0,0.716,13,12638.01,1
42062.39,0.219,0.5,1,0.297,5,6340.9,0
51357.48,0.213,8.94,2,0.544,8,15921.13,0
50664.4,0.203,6.52,0,0.586,5,4910.47,0
29306.13,0.282,7.35,1,0.389,3,21035.75,0
68410.55,0.185,5.17,2,0.228,8,15675.37,0
27357.36,0.091,8.63,0,0.372,8,10956.41,0
41263.33,0.32,0.89,1,0.72,3,8969.89,1
36459.64,0.239,4.99,2,0.684,7,9824.29,0
27801.71,0.209,15.83,2,0.307,7,17809.31,0
39093.36,0.206,8.33,1,0.124,4,8246.95,0
30968.17,0.092,5.47,1,0.341,7,16411.6,0
41172.16,0.199,9.52,1,0.475,2,11226.24,0
46215.94,0.236,5.63,4,0.239,11,8756.6,0
67182.98,0.026,3.6,1,0.325,8,21489.64,0
44693.55,0.264,4.2,2,0.424,10,17336.27,0
32405.1,0.034,4.89,0,0.344,3,10087.14,0
34994.04,0.173,2.39,0,0.483,11,15707.74,0
42150.1,0.355,4.91,1,0.596,1,14716.4,0
41469.41,0.207,2.23,3,0.244,11,9256.08,0
66893.44,0.122,7.31,1,0.659,11,5592.56,0
65406.28,0.106,6.11,1,0.773,9,10727.84,0
35396.65,0.321,8.94,0,0.266,7,4480.73,0
33122.74,0.108,5.96,1,0.301,12,5111.71,0
25000.0,0.101,6.56,1,0.365,11,20757.96,0
33119.51,0.166,4.38,3,0.46,8,9164.05,0
28500.58,0.366,4.58,1,0.198,9,10412.19,0
35447.62,0.487,2.67,3,0.84,2,17755.36,1
46030.27,0.037,7.14,2,0.662,8,10690.6,0
42702.7,0.156,8.02,1,0.247,3,7463.79,0
39716.07,0.137,7.82,0,0.296,10,15484.41,0
43038.65,0.165,0.9,1,0.461,10,16500.85,0
38401.77,0.34,4.27,2,0.442,4,8920.76,0
43000.05,0.087,8.78,1,0.231,3,16825.36,0
25000.0,0.46,7.14,1,0.457,10,12291.2,0
36524.82,0.159,8.82,3,0.55,12,14005.91,0
38607.52,0.115,9.96,3,0.112,2,5000.75,0
35616.29,0.145,4.76,1,0.373,9,17200.76,0
37187.16,0.142,10.92,1,0.264,8,2661.22,0
51336.56,0.226,9.35,1,0.211,13,10360.91,0
32554.25,0.136,1.86,2,0.806,5,14090.1,0
86703.17,0.305,4.34,1,0.253,8,4199.33,0
51067.52,0.154,10.62,3,0.22,4,10062.42,0
40046.34,0.193,6.14,0,0.137,12,5270.23,0
37334.32,0.215,0.5,2,0.672,4,22334.23,1
38937.66,0.115,8.68,1,0.325,2,12261.45,0
29133.46,0.116,8.91,1,0.205,4,13755.67,0
38819.54,0.257,6.19,3,0.411,11,14135.7,0
44246.84,0.44,9.71,3,0.556,1,14351.96,0
49160.2,0.374,0.5,0,0.604,9,17920.18,0
49162.75,0.152,6.09,1,0.304,5,13990.69,0
36453.5,0.095,4.98,1,0.418,5,10053.72,0
25000.0,0.197,8.97,0,0.102,10,11726.79,0
31755.27,0.401,2.1,0,0.347,5,17535.03,0
70563.45,0.451,6.7,1,0.19,6,11084.92,0
54919.32,0.031,6.94,2,0.109,13,15909.06,0
45677.76,0.161,6.37,3,0.472,7,5120.67,0
30746.98,0.113,5.97,0,0.393,1,15891.1,0
40186.07,0.143,8.99,2,0.747,5,22369.68,0
25861.64,0.3,3.57,0,0.359,11,13337.26,0
33084.56,0.235,4.02,2,0.059,9,21433.2,0
36834.08,0.246,1.36,2,0.208,3,3511.76,0
35363.17,0.489,5.1,1,0.688,2,16647.93,0
56095.49,0.365,6.63,0,0.526,7,8816.97,0
25000.0,0.382,7.43,0,0.33,6,16919.87,0
29646.48,0.291,2.53,0,0.346,9,9684.26,0
25000.0,0.211,1.92,1,0.789,9,1000.0,0
26027.95,0.322,7.5,1,0.389,11,15769.21,0
41915.86,0.227,3.59,1,0.324,3,10784.3,0
25000.0,0.137,11.63,0,0.489,1,12529.44,0
52253.08,0.201,9.47,2,0.298,5,11347.84,0
36813.3,0.258,1.51,0,0.27,7,15215.15,0
41112.85,0.084,6.63,2,0.201,13,18040.5,0
44931.84,0.247,5.83,0,0.324,6,12107.83,0
34476.79,0.182,4.15,2,0.778,12,14118.53,0
57605.19,0.212,11.13,0,0.252,13,2450.91,0
37495.64,0.011,4.9,2,0.215,10,14299.76,0
49410.81,0.089,4.02,0,0.341,1,6796.53,0
37433.1,0.211,1.25,0,0.214,8,7917.4,0
44436.04,0.188,3.9,1,0.459,11,13908.53,0
44262.01,0.282,8.1,2,0.522,2,17321.63,0
43804.4,0.106,4.34,0,0.611,5,6448.39,0
28538.01,0.197,8.97,1,0.288,6,11455.86,0
46749.39,0.462,9.2,0,0.478,13,11316.95,0
35895.42,0.208,6.65,0,0.112,5,14371.84,0
50044.65,0.115,10.48,3,0.326,8,5371.56,0
25000.0,0.175,6.41,0,0.225,13,17714.02,0
25000.0,0.169,5.56,1,0.407,10,9408.92,0
45579.16,0.34,9.19,1,0.524,1,15489.62,0
77035.73,0.172,6.96,0,0.184,2,25769.76,0
53759.23,0.183,9.99,0,0.452,6,17642.1,0
31607.26,0.451,5.1,1,0.613,8,11397.9,0
25000.0,0.097,12.12,0,0.501,4,14690.21,0
52048.96,0.115,7.87,3,0.511,13,11757.75,0
39018.68,0.182,4.89,0,0.157,5,13927.18,0
49352.64,0.158,7.47,0,0.588,8,8023.26,0
41787.58,0.203,7.46,1,0.201,8,7438.61,0
40553.4,0.285,5.19,0,0.339,8,9488.99,0
113042.47,0.264,5.57,0,0.32,9,5962.4,0
40048.82,0.091,8.83,0,0.568,8,18634.77,0
37959.09,0.187,7.71,2,0.51,2,11833.65,0
38464.57,0.148,5.73,1,0.537,4,8556.44,0
32720.67,0.239,6.0,0,0.363,12,8493.07,0
56757.69,0.292,4.93,0,0.484,8,11222.49,0
35460.9,0.391,13.95,2,0.536,13,15199.12,0
50140.28,0.441,13.44,0,0.134,10,9922.09,0
44338.61,0.1,10.54,2,0.606,9,10760.74,0
61490.94,0.234,5.54,1,0.78,5,11847.24,0
46493.27,0.235,6.43,0,0.607,4,8262.94,0
26247.22,0.352,8.61,1,0.248,1,4334.69,0
25228.49,0.198,8.59,1,0.519,1,16079.02,0
65704.93,0.46,5.61,3,0.534,6,12865.11,0
32433.63,0.29,2.63,0,0.427,8,4868.77,0
25280.51,0.188,3.37,0,0.686,2,10082.06,0
31749.54,0.022,3.84,0,0.385,1,5504.38,0
62481.07,0.05,9.06,3,0.319,9,18452.89,0
25000.0,0.174,8.97,2,0.363,7,16246.45,0
29635.45,0.148,12.17,2,0.315,4,10056.26,0
31780.79,0.163,3.99,3,0.328,8,5645.95,0
25902.21,0.047,10.75,1,0.386,1,9316.04,0
26515.52,0.259,3.99,2,0.523,6,13814.6,0
25000.0,0.157,3.09,1,0.277,13,17895.69,0
34152.27,0.204,0.5,2,0.428,10,15254.14,0
35446.57,0.15,11.01,2,0.342,9,16651.76,0
31606.3,0.436,4.33,3,0.328,3,13801.76,0
25000.0,0.253,6.48,0,0.206,1,15021.43,0
62234.67,0.26,12.12,1,0.423,8,7539.49,0
25205.62,0.178,6.52,0,0.545,13,9298.1,0
44236.78,0.274,5.9,0,0.454,9,3489.9,0
27552.04,0.114,7.4,0,0.298,8,10473.69,0
50711.65,0.052,5.91,2,0.579,6,10580.19,0
56080.38,0.266,1.94,0,0.55,5,10833.05,0
29520.35,0.218,6.12,2,0.444,9,10919.63,0
25000.0,0.039,8.84,0,0.68,5,11537.4,0
51201.57,0.398,7.86,2,0.314,3,1000.0,0
77383.6,0.429,11.67,0,0.445,5,7618.53,0
46420.34,0.159,10.74,1,0.198,11,12119.2,0
42454.6,0.094,5.98,0,0.602,8,11368.87,0
53472.15,0.358,9.45,2,0.563,9,2421.26,0
52458.06,0.12,11.25,1,0.465,3,13591.15,0
30027.05,0.19,9.93,0,0.207,9,13577.15,0
31866.07,0.262,0.99,0,0.584,5,18449.56,0
49706.61,0.028,7.11,0,0.091,12,14313.36,0
38161.99,0.448,5.65,3,0.096,2,16458.93,0
63628.19,0.272,9.91,1,0.477,1,10528.63,0
31366.01,0.229,3.39,0,0.637,3,7005.44,0
52193.51,0.031,7.33,1,0.595,4,16357.64,0
45248.43,0.195,8.15,0,0.737,1,11724.81,0
38397.47,0.052,4.56,1,0.538,3,10571.77,0
60570.83,0.158,3.35,0,0.433,4,9274.25,0
50920.71,0.069,1.28,1,0.482,11,21294.48,0
28233.42,0.117,7.08,0,0.293,9,11647.24,0
50215.38,0.374,4.03,3,0.215,7,12173.86,0
64941.8,0.14,12.45,0,0.325,6,5807.26,0
38343.66,0.203,6.25,1,0.427,12,14605.58,0
36789.6,0.15,9.4,0,0.562,11,16201.65,0
31749.22,0.128,2.98,1,0.418,11,17623.92,0
39944.2,0.108,6.14,2,0.077,4,1489.41,0
51030.06,0.112,12.88,2,0.524,1,8066.46,0
30146.26,0.201,7.87,1,0.543,11,7714.55,0
25053.65,0.123,6.4,2,0.2,11,12806.01,0
35188.95,0.307,7.27,2,0.24,9,3202.37,0
25000.0,0.066,7.23,1,0.722,8,11476.47,0
48200.59,0.131,7.25,1,0.726,3,14702.16,0
34567.13,0.018,6.57,1,0.59,1,17699.84,0
25000.0,0.211,8.62,0,0.442,11,15470.06,0
35524.84,0.117,3.99,2,0.544,5,6105.98,0
37518.32,0.075,6.6,2,0.23,8,9395.26,0
46966.86,0.295,8.19,0,0.546,12,17154.99,0
38143.96,0.313,1.7,0,0.404,7,4231.22,0
77192.24,0.147,9.94,0,0.555,9,17714.92,0
33471.64,0.055,4.71,0,0.238,10,9839.01,0
39267.82,0.505,8.29,0,0.207,8,18246.67,0
38714.96,0.192,3.25,1,0.557,4,13931.73,0
36354.75,0.016,6.26,1,0.534,9,13130.31,0
42186.22,0.221,3.62,1,0.532,13,16063.07,0
48505.43,0.088,11.43,4,0.113,6,16061.7,0
64153.54,0.147,2.85,1,0.452,13,7688.87,0
25000.0,0.276,12.6,0,0.593,12,13241.01,0
33569.73,0.255,4.01,0,0.235,8,12180.65,0
34313.01,0.296,6.57,0,0.353,12,12140.56,0
55728.54,0.233,9.5,2,0.198,7,4256.87,0
35424.82,0.17,10.16,2,0.538,7,19326.57,0
25000.0,0.155,8.73,0,0.306,13,10209.96,0
41386.32,0.269,10.93,0,0.493,5,6200.45,0
39664.38,0.264,14.0,1,0.212,12,17719.36,0
42740.96,0.159,7.58,2,0.039,7,16028.53,0
27887.76,0.053,5.28,2,0.47,10,17745.09,0
73252.1,0.128,1.97,5,0.395,8,5920.15,0
35833.88,0.481,6.54,2,0.335,1,11676.9,0
37575.07,0.193,6.78,0,0.606,4,8648.72,0
29289.87,0.229,2.69,1,0.105,7,6357.96,0
28973.86,0.098,10.07,0,0.474,13,9538.68,0
26161.45,0.062,5.88,1,0.295,7,8878.09,0
34973.34,0.225,12.12,1,0.654,6,4980.66,0
28705.57,0.139,6.06,4,0.329,3,11005.6,0
82434.85,0.299,5.34,2,0.243,12,10078.76,0
25000.0,0.117,7.14,0,0.681,3,7483.65,0
27040.32,0.026,7.33,0,0.525,9,20908.04,0
34874.28,0.24,8.88,1,0.445,8,10306.0,0
50803.57,0.271,6.12,1,0.805,8,1479.3,0
34723.96,0.098,4.71,2,0.248,10,7080.84,0
50847.55,0.26,2.43,4,0.411,2,9967.66,0
28413.47,0.249,5.29,0,0.493,12,2219.11,0
40976.41,0.164,6.77,1,0.622,2,13845.94,0
73896.03,0.056,3.82,2,0.127,11,7445.09,0
28603.65,0.203,4.45,1,0.296,12,19592.19,0
46483.31,0.171,7.53,1,0.628,3,12774.97,0
43149.44,0.096,9.15,2,0.421,11,9574.23,0
25000.0,0.179,0.84,0,0.435,7,8614.0,0
32658.5,0.144,5.13,1,0.159,8,12332.61,0
59629.35,0.097,7.54,2,0.343,4,15250.91,0
42077.87,0.213,1.89,0,0.393,9,10647.76,0
26257.47,0.13,12.3,2,0.355,11,13344.53,0
51111.87,0.106,2.68,0,0.182,10,11130.45,0
33938.56,0.14,10.09,1,0.693,10,10477.36,0
45525.04,0.192,10.32,1,0.313,8,11905.09,0
45794.63,0.197,4.5,1,0.455,9,6946.55,0
27131.66,0.096,7.0,0,0.455,12,6781.2,0
52914.88,0.142,5.22,0,0.373,6,6218.97,0
28208.31,0.203,3.07,2,0.606,1,14344.12,0
25411.95,0.145,6.17,1,0.263,5,5566.67,0
29466.52,0.295,8.6,0,0.197,5,12654.02,0
35556.15,0.41,6.34,4,0.261,7,9746.86,0
41701.45,0.287,6.26,1,0.612,3,10884.33,0
30625.73,0.295,4.02,2,0.385,8,6965.85,0
52087.84,0.131,9.0,2,0.754,13,13362.2,0
43827.31,0.195,3.64,1,0.608,8,7736.81,0
31470.96,0.22,7.14,1,0.129,2,2180.16,0
54783.67,0.018,7.24,2,0.408,9,9057.11,0
60256.99,0.051,3.51,0,0.802,4,13848.95,0
38772.26,0.079,6.85,2,0.465,9,10079.51,0
37225.75,0.076,10.43,1,0.389,11,19221.81,0
25000.0,0.258,6.61,3,0.671,12,14692.54,0
34799.93,0.11,9.21,1,0.26,8,9984.39,0
36241.95,0.067,10.49,1,0.354,3,8488.36,0
43734.07,0.096,4.61,2,0.126,11,12497.79,0
37837.3,0.36,7.86,0,0.484,7,14227.76,0
43713.38,0.184,1.85,2,0.652,4,13617.33,0
68660.65,0.097,9.33,4,0.317,5,13020.49,0
33340.56,0.091,9.13,3,0.27,6,15223.92,0
33798.09,0.216,13.1,2,0.826,11,14525.62,0
25381.91,0.156,6.23,0,0.638,3,18146.44,0
40013.37,0.35,8.75,1,0.183,12,15696.4,0
56493.71,0.351,4.6,1,0.56,8,7383.52,0
25000.0,0.158,8.8,1,0.329,10,11269.13,0
31791.37,0.1,8.37,1,0.446,6,21702.75,0
40642.89,0.195,10.5,1,0.269,12,11862.45,0
54043.04,0.489,16.8,0,0.243,4,2904.29,0
45890.1,0.275,0.5,1,0.394,2,17890.22,0
44977.26,0.227,5.12,0,0.559,8,12303.47,0
37104.39,0.06,9.46,0,0.559,10,11915.06,0
47508.12,0.142,5.36,1,0.283,12,13578.9,0
57239.89,0.185,10.09,0,0.692,8,14944.35,0
25000.0,0.277,0.5,2,0.662,4,14959.22,1
51791.81,0.18,8.24,0,0.135,12,11244.72,0
38771.24,0.253,6.44,1,0.858,6,18229.5,0
33339.69,0.301,6.29,1,0.17,5,15902.5,0
25000.0,0.169,4.0,0,0.368,3,5815.23,0
25000.0,0.22,5.57,1,0.5,12,8762.7,0
72716.29,0.097,7.08,2,0.256,8,11158.79,0
31539.88,0.251,9.09,1,0.397,4,4431.68,0
27455.75,0.195,2.59,1,0.084,11,3059.74,0
34209.23,0.296,9.41,0,0.421,10,8710.25,0
30921.24,0.115,6.94,4,0.605,4,14642.66,0
41920.3,0.454,10.12,1,0.564,5,17649.35,0
68250.55,0.211,2.27,0,0.35,9,8027.77,0
32685.42,0.151,5.74,0,0.351,13,14634.99,0
42361.77,0.278,7.57,1,0.094,10,5443.3,0
26861.98,0.055,4.58,0,0.378,3,15237.92,0
68326.86,0.184,4.16,0,0.287,5,20224.26,0
42880.19,0.357,13.4,0,0.808,3,10744.76,0
27484.11,0.03,5.27,1,0.401,13,16768.62,0
55078.08,0.149,8.18,1,0.348,12,20736.8,0
61083.42,0.303,6.65,1,0.546,1,7962.04,0
42468.15,0.195,8.0,0,0.66,2,8634.46,0
25000.0,0.081,10.24,0,0.338,11,14160.57,0
74967.43,0.056,7.13,2,0.414,12,23484.46,0
44736.41,0.331,5.08,0,0.34,2,9843.42,0
60455.27,0.211,7.73,1,0.591,1,15074.82,0
33096.65,0.324,12.01,1,0.416,8,11176.77,0
34908.36,0.274,5.73,1,0.329,5,12639.61,0
41716.77,0.281,4.21,3,0.349,7,10874.0,0
59260.05,0.333,6.75,0,0.448,10,5245.67,0
42194.56,0.164,2.47,1,0.575,6,12522.49,0
25851.09,0.13,3.79,1,0.378,13,4588.06,0
43989.06,0.258,11.17,3,0.366,12,17302.27,0
70993.03,0.295,6.07,1,0.443,7,3230.2,0
41069.96,0.187,6.91,0,0.777,6,18523.99,0
41994.12,0.291,6.22,1,0.47,1,14664.64,0
25799.48,0.308,7.13,0,0.757,4,17032.83,0
25000.0,0.144,9.52,1,0.632,1,10522.6,0
32106.31,0.306,6.16,0,0.268,12,16248.6,0
35800.56,0.063,3.54,1,0.52,11,19680.47,0
41623.54,0.122,1.57,2,0.225,13,9445.5,0
42535.1,0.214,5.11,1,0.142,13,14193.19,0
70309.88,0.082,5.94,2,0.717,1,5130.6,0
40967.76,0.263,5.15,2,0.22,10,9290.79,0
58252.83,0.213,5.95,1,0.617,8,6097.3,0
39586.16,0.238,6.33,2,0.412,7,21171.99,0
66643.73,0.076,3.51,1,0.544,3,16822.37,0
25000.0,0.47,3.2,2,0.606,7,16472.66,1
32547.11,0.157,6.5,3,0.256,13,8988.69,0
56616.84,0.178,8.18,3,0.677,12,13806.6,0
37795.35,0.318,4.37,1,0.535,5,18417.0,0
55605.39,0.181,8.9,1,0.476,3,14041.27,0
45925.38,0.137,4.03,1,0.057,1,15397.0,0
55885.32,0.019,7.94,2,0.663,10,18554.72,0
49740.45,0.068,11.71,0,0.351,3,11797.9,0
50806.38,0.196,9.39,1,0.71,3,12950.03,0
67667.37,0.101,8.75,1,0.55,9,10201.46,0
56685.06,0.066,4.17,2,0.696,6,14217.39,0
56830.72,0.324,6.97,2,0.541,11,12886.0,0
40422.69,0.136,11.44,2,0.535,12,11119.52,0
32739.99,0.239,11.04,0,0.206,3,11668.83,0
31861.51,0.56,10.11,2,0.189,13,9660.77,0
52199.63,0.228,8.04,4,0.527,8,13647.26,0
25000.0,0.317,8.0,2,0.502,8,16917.39,0
25399.57,0.197,1.64,1,0.712,10,13631.7,0
28648.64,0.386,4.98,2,0.332,3,15088.77,0
36802.92,0.107,13.01,0,0.488,4,13197.16,0
25000.0,0.295,8.95,1,0.538,2,3414.68,0
62352.09,0.197,13.96,3,0.244,2,22411.34,0
49516.51,0.103,8.07,1,0.49,3,10276.05,0
80386.69,0.046,3.94,2,0.612,3,15947.36,0
58207.82,0.103,6.09,0,0.421,13,11054.23,0
57562.86,0.208,10.02,2,0.298,8,16089.59,0
88233.03,0.159,9.0,2,0.203,2,26541.54,0
32865.04,0.159,12.04,0,0.497,2,13804.64,0
25000.0,0.195,10.2,1,0.282,8,14804.0,0
37000.06,0.165,0.5,3,0.64,8,14821.46,1
30069.08,0.185,8.42,1,0.548,8,18337.44,0
36684.3,0.24,13.51,1,0.193,6,12460.24,0
27789.77,0.092,9.26,1,0.198,6,5530.84,0
48959.96,0.156,3.31,1,0.53,9,13496.55,0
48028.22,0.097,9.13,1,0.129,12,3247.42,0
