age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_open_accounts,delinq_2yrs,revol_util,pub_records,purpose_score,home_ownership_score,default
42,32641.0,19165.0,60,589,11,12,7,11.0,0,5.0,1,0
36,68735.0,7240.0,36,839,4,4,1,6.0,0,5.0,2,0
61,36502.0,48510.0,60,585,0,6,2,116.0,0,2.0,1,0
46,98528.0,37077.0,60,441,8,20,3,116.0,3,5.0,1,0
30,13367.0,3270.0,60,388,3,8,3,98.0,2,7.0,1,0
56,34660.0,22130.0,60,591,1,6,0,133.0,1,7.0,1,0
26,34739.0,25929.0,60,519,16,1,1,150.0,2,9.0,2,0
49,30119.0,11662.0,72,509,9,5,3,150.0,0,5.0,1,0
54,35646.0,11568.0,36,484,4,3,4,11.0,0,6.0,1,0
37,35807.0,10508.0,60,850,12,6,2,150.0,1,7.0,1,0
35,41647.0,11513.0,72,780,1,2,1,150.0,1,7.0,2,0
48,17007.0,44466.0,36,645,17,6,0,150.0,2,7.0,1,0
38,23129.0,6801.0,72,491,2,5,6,150.0,2,7.0,2,0
40,44093.0,12966.0,36,573,3,9,3,2.0,0,6.0,1,0
50,28159.0,17570.0,60,548,2,7,7,66.0,0,6.0,2,0
41,43389.0,15036.0,36,529,13,2,2,150.0,2,8.0,2,0
28,43041.0,40280.0,60,511,9,2,3,115.0,2,8.0,2,0
39,17578.0,20614.0,36,540,9,1,2,150.0,2,8.0,2,0
39,36563.0,1896.0,36,577,7,6,2,122.0,1,7.0,2,0
30,20010.0,5428.0,36,625,6,8,4,150.0,1,8.0,1,0
53,50832.0,9002.0,72,490,1,10,5,55.0,1,6.0,2,0
33,69235.0,7371.0,36,817,4,4,6,105.0,1,6.0,1,0
18,48166.0,20674.0,60,679,1,5,2,122.0,1,6.0,2,0
26,23126.0,6561.0,36,478,8,3,3,150.0,1,5.0,1,0
34,25243.0,26477.0,36,592,10,0,1,98.0,1,8.0,1,0
47,54469.0,18849.0,36,681,12,3,4,80.0,2,6.0,1,0
37,53562.0,9231.0,36,480,8,7,7,150.0,1,4.0,2,1
56,42866.0,18181.0,72,505,6,3,1,150.0,0,4.0,1,0
48,37557.0,16374.0,36,635,7,6,2,83.0,1,6.0,1,0
43,37964.0,10878.0,36,565,5,4,1,61.0,0,5.0,2,0
55,50861.0,15432.0,60,700,0,3,3,17.0,1,6.0,2,0
35,21976.0,29815.0,36,544,7,6,4,150.0,0,9.0,2,0
34,30259.0,20016.0,36,518,4,5,1,85.0,1,5.0,1,0
52,35708.0,1630.0,60,713,7,3,3,32.0,0,7.0,0,0
46,24954.0,9203.0,36,669,6,5,8,92.0,0,5.0,2,0
55,57988.0,15847.0,36,447,4,15,6,23.0,2,6.0,0,0
40,35820.0,22181.0,60,643,12,8,5,150.0,1,7.0,1,0
40,37138.0,20409.0,60,612,1,7,0,150.0,1,7.0,1,0
47,36027.0,3365.0,60,402,6,5,1,123.0,1,7.0,2,0
38,55871.0,2248.0,60,698,1,5,4,150.0,1,6.0,1,0
36,45747.0,6185.0,36,536,1,1,2,150.0,0,4.0,2,0
31,42955.0,18874.0,36,402,8,4,0,41.0,1,6.0,2,0
45,58926.0,21090.0,36,564,8,16,8,59.0,2,5.0,3,0
37,43456.0,14937.0,36,727,10,6,1,150.0,0,6.0,2,0
49,58030.0,6069.0,60,578,7,11,5,150.0,1,5.0,2,0
57,44335.0,624.0,60,476,0,2,2,65.0,1,4.0,2,0
42,61670.0,20206.0,36,557,9,11,1,97.0,1,6.0,1,0
34,46108.0,18802.0,60,723,3,4,1,1.0,1,6.0,1,0
47,39998.0,23790.0,36,475,6,0,7,142.0,2,7.0,2,0
44,23763.0,500.0,36,578,3,5,4,150.0,1,7.0,2,0
49,37267.0,38445.0,60,533,1,7,1,84.0,2,7.0,1,0
18,34422.0,15328.0,36,740,4,2,2,105.0,0,5.0,1,0
53,19538.0,25107.0,60,559,3,10,2,39.0,0,2.0,1,0
52,49965.0,8358.0,36,603,3,10,5,0.0,1,5.0,1,0
18,39807.0,14334.0,60,727,4,3,2,150.0,1,5.0,2,0
37,30178.0,27353.0,36,548,13,8,1,150.0,0,6.0,2,0
30,37176.0,9787.0,36,613,11,0,1,122.0,0,8.0,1,0
39,64742.0,1011.0,36,690,12,5,7,50.0,2,7.0,2,0
39,52048.0,26229.0,36,527,4,0,3,88.0,1,3.0,1,0
34,58196.0,9551.0,36,729,4,3,2,150.0,1,4.0,1,1
36,32465.0,24369.0,36,583,6,11,3,150.0,0,7.0,2,0
27,19918.0,7017.0,36,842,5,5,4,150.0,0,4.0,1,1
56,28372.0,30032.0,36,544,3,4,0,150.0,1,7.0,1,0
44,30409.0,14234.0,60,708,2,2,0,94.0,0,4.0,2,1
37,34023.0,25806.0,60,635,5,9,6,58.0,1,4.0,2,0
29,44829.0,1508.0,36,811,8,0,5,15.0,0,5.0,2,0
26,70137.0,5408.0,60,386,7,5,0,58.0,2,4.0,2,0
43,53704.0,4169.0,36,643,5,4,3,150.0,1,7.0,2,0
51,22850.0,17761.0,36,717,8,4,2,131.0,0,7.0,2,0
43,34191.0,9599.0,36,695,6,0,4,13.0,0,6.0,2,0
43,53774.0,925.0,36,619,6,9,3,103.0,1,4.0,2,0
27,43607.0,2932.0,60,550,2,1,4,150.0,0,7.0,2,1
44,40159.0,11441.0,60,728,0,0,2,49.0,0,5.0,2,1
26,35776.0,3316.0,60,361,8,2,0,149.0,1,5.0,2,0
72,46150.0,33049.0,60,545,1,11,4,150.0,2,5.0,1,0
42,41897.0,950.0,36,704,0,1,4,150.0,0,6.0,1,0
33,27803.0,34992.0,36,568,0,3,4,26.0,0,4.0,2,0
49,33216.0,500.0,60,747,8,3,3,150.0,0,6.0,2,0
44,28601.0,16615.0,36,740,1,5,4,55.0,1,7.0,1,1
27,44500.0,3799.0,36,628,4,4,2,150.0,1,7.0,1,0
30,21927.0,21025.0,36,672,2,1,3,150.0,0,6.0,1,1
56,39358.0,30528.0,72,657,12,0,0,98.0,1,7.0,1,0
44,46893.0,19370.0,36,394,2,7,2,34.0,1,7.0,2,0
62,56792.0,28634.0,36,671,0,6,0,150.0,2,5.0,2,0
37,65624.0,12762.0,60,411,1,6,2,44.0,2,5.0,1,0
38,88194.0,7088.0,36,474,5,11,3,150.0,2,4.0,1,0
38,62420.0,13596.0,60,501,9,8,1,150.0,1,5.0,2,0
63,27078.0,9094.0,60,449,7,3,2,150.0,0,7.0,1,0
38,27891.0,7210.0,60,789,2,1,0,0.0,1,6.0,1,0
36,50919.0,19393.0,72,720,10,8,8,150.0,2,6.0,2,0
46,44266.0,11299.0,72,498,1,5,0,10.0,1,5.0,2,0
31,32482.0,17245.0,36,514,1,2,6,137.0,0,5.0,2,0
44,37300.0,554.0,36,598,14,0,1,138.0,1,8.0,2,0
41,42569.0,40038.0,36,562,9,5,1,150.0,2,7.0,2,0
18,27601.0,1257.0,60,496,12,1,3,150.0,0,4.0,1,0
37,62413.0,2699.0,36,701,6,0,4,67.0,2,6.0,1,0
52,74613.0,17381.0,36,507,4,12,2,69.0,2,4.0,1,0
63,71280.0,4857.0,36,800,12,7,7,93.0,1,6.0,1,0
35,34423.0,5195.0,36,483,5,2,0,150.0,0,5.0,1,0
53,29529.0,6877.0,60,750,4,2,1,37.0,0,7.0,1,1
54,36322.0,15827.0,72,416,4,4,2,135.0,0,6.0,2,0
29,74709.0,8190.0,60,762,17,9,7,150.0,2,6.0,2,0
40,31118.0,10411.0,36,648,4,8,2,150.0,0,7.0,1,0
40,28748.0,1719.0,60,759,3,3,2,46.0,1,7.0,1,0
46,28968.0,17530.0,60,629,1,6,1,150.0,0,7.0,2,0
40,49329.0,26574.0,36,401,1,7,0,150.0,2,5.0,2,0
44,41153.0,17982.0,60,703,10,3,2,108.0,1,7.0,1,0
42,21989.0,4594.0,36,532,9,2,1,150.0,2,8.0,2,0
47,61728.0,15009.0,36,784,1,6,1,34.0,1,6.0,2,1
38,40547.0,25336.0,36,458,1,8,1,104.0,1,6.0,2,0
34,25036.0,29041.0,36,388,5,9,3,150.0,1,5.0,2,0
38,34795.0,18638.0,36,633,1,3,4,150.0,1,7.0,2,0
53,34845.0,26076.0,60,508,6,6,1,89.0,1,5.0,2,0
37,31335.0,15521.0,60,755,5,3,0,90.0,0,6.0,1,0
35,24533.0,20006.0,36,469,3,1,1,150.0,0,6.0,2,0
53,33075.0,8635.0,36,557,10,10,5,150.0,1,4.0,2,1
35,39964.0,5940.0,36,603,0,6,1,150.0,1,6.0,1,0
22,55374.0,650.0,60,637,3,2,1,11.0,1,4.0,2,1
44,36999.0,2583.0,36,701,6,1,3,146.0,0,7.0,1,1
35,44368.0,4976.0,36,782,1,2,5,40.0,1,6.0,1,0
51,17251.0,13920.0,60,623,15,1,1,150.0,3,6.0,2,0
55,53375.0,35228.0,36,599,9,17,5,5.0,1,6.0,2,0
39,39210.0,8202.0,60,769,2,3,3,40.0,0,5.0,1,0
42,20889.0,15067.0,60,478,4,3,4,150.0,1,6.0,1,0
45,27283.0,19012.0,36,616,18,2,2,150.0,0,8.0,2,0
40,81275.0,17284.0,36,519,8,13,3,136.0,2,4.0,1,0
42,21680.0,9201.0,60,694,7,5,1,150.0,0,5.0,2,1
41,42016.0,16489.0,36,669,4,3,5,150.0,1,6.0,1,0
44,30452.0,3695.0,36,479,9,1,1,150.0,1,5.0,1,0
50,42669.0,5327.0,36,590,8,12,5,53.0,0,6.0,2,0
31,47119.0,24026.0,36,525,4,11,3,5.0,1,5.0,1,0
18,39172.0,14455.0,60,644,1,9,10,150.0,2,3.0,1,0
28,52916.0,9234.0,36,737,15,7,7,119.0,1,7.0,2,0
22,48419.0,6553.0,36,758,6,5,8,90.0,1,7.0,1,0
35,45069.0,21288.0,60,850,5,10,7,78.0,1,6.0,2,0
38,50000.0,17728.0,60,630,12,2,4,110.0,2,7.0,2,0
45,37240.0,11940.0,36,850,5,0,1,123.0,2,6.0,1,0
19,30696.0,30806.0,60,660,2,3,2,46.0,0,5.0,1,1
39,15191.0,23689.0,36,739,11,15,0,55.0,2,6.0,2,1
51,52864.0,41530.0,36,546,8,15,1,49.0,1,7.0,1,0
34,28399.0,24862.0,36,694,3,3,4,150.0,0,6.0,1,0
28,40950.0,37535.0,60,535,16,4,0,150.0,2,8.0,1,0
18,37519.0,3936.0,72,804,1,1,0,150.0,1,6.0,2,0
28,33882.0,16080.0,60,430,1,1,1,64.0,0,5.0,1,0
34,35037.0,26412.0,36,609,3,4,1,62.0,1,7.0,2,0
35,20254.0,17010.0,36,837,10,2,3,150.0,2,6.0,2,0
26,47695.0,23910.0,36,486,1,8,2,16.0,1,5.0,1,0
33,65165.0,19261.0,36,745,5,6,9,76.0,1,6.0,1,0
29,39164.0,11777.0,36,850,3,10,6,150.0,0,5.0,1,0
36,60855.0,1667.0,60,473,6,8,4,50.0,1,6.0,2,0
47,59160.0,3654.0,60,688,6,1,3,150.0,1,6.0,2,0
37,26568.0,1394.0,72,805,17,7,3,55.0,2,5.0,2,0
41,45657.0,28110.0,60,534,7,7,2,116.0,0,6.0,2,0
42,23016.0,1007.0,36,583,6,1,3,67.0,1,5.0,1,0
37,49510.0,3399.0,60,698,2,5,2,150.0,1,6.0,1,0
43,49744.0,24490.0,36,631,3,7,1,42.0,2,4.0,2,1
54,40310.0,16124.0,60,520,1,8,2,98.0,1,6.0,2,0
30,21954.0,5486.0,60,812,12,6,1,67.0,2,8.0,1,0
28,59422.0,21072.0,36,476,1,11,3,83.0,1,6.0,2,0
53,26396.0,6140.0,36,601,3,5,3,82.0,1,7.0,2,0
39,31866.0,16174.0,60,738,5,4,1,150.0,0,7.0,1,0
41,30928.0,21962.0,60,551,1,7,0,150.0,1,7.0,1,0
33,42386.0,12905.0,36,514,2,8,4,20.0,1,6.0,1,0
34,37657.0,2398.0,36,720,9,3,2,50.0,0,7.0,2,0
41,32075.0,9916.0,36,703,4,2,1,150.0,0,8.0,0,1
37,68658.0,14979.0,36,724,1,3,5,150.0,1,6.0,1,0
27,20122.0,22071.0,72,419,3,6,2,58.0,0,4.0,2,0
36,41825.0,22266.0,60,507,1,6,3,150.0,1,5.0,1,0
51,28667.0,17095.0,60,499,3,3,1,49.0,0,4.0,2,0
56,33330.0,12923.0,36,562,22,5,2,150.0,1,8.0,3,0
58,29924.0,7503.0,60,332,8,0,5,90.0,0,8.0,1,0
48,31785.0,37271.0,60,561,11,8,0,58.0,0,6.0,1,0
31,36135.0,34230.0,36,528,12,5,2,150.0,2,8.0,1,0
27,14705.0,25433.0,60,529,12,4,3,150.0,1,5.0,1,1
43,24165.0,29612.0,60,541,16,0,2,150.0,1,8.0,1,1
32,41276.0,7722.0,72,599,15,5,5,150.0,0,3.0,1,0
50,35013.0,21663.0,36,518,7,4,0,150.0,0,5.0,2,0
43,15474.0,14770.0,60,621,19,2,1,150.0,2,5.0,1,0
43,49659.0,12505.0,36,850,9,10,6,150.0,0,5.0,1,0
31,18964.0,9629.0,60,544,4,6,3,150.0,0,9.0,1,0
41,23918.0,598.0,36,621,6,0,4,150.0,1,4.0,2,0
29,34715.0,37036.0,36,523,1,6,2,136.0,2,7.0,2,0
49,58965.0,4327.0,60,600,2,12,7,130.0,1,6.0,1,0
41,58575.0,14175.0,36,573,7,0,7,55.0,3,7.0,1,1
23,10397.0,5088.0,60,577,15,16,3,120.0,0,3.0,2,1
42,49288.0,10260.0,60,356,1,5,1,102.0,2,5.0,2,0
43,52538.0,2517.0,60,645,1,4,4,150.0,1,6.0,1,0
47,51541.0,10573.0,60,763,8,4,5,86.0,0,6.0,2,0
36,74701.0,25613.0,72,560,12,17,6,150.0,2,5.0,1,0
18,20296.0,6173.0,36,638,8,6,3,24.0,0,5.0,1,1
38,39595.0,2068.0,36,534,9,7,0,150.0,0,6.0,2,0
35,66511.0,5272.0,72,637,1,7,3,150.0,1,7.0,2,0
32,47026.0,7850.0,36,850,12,8,4,8.0,0,6.0,2,0
36,25933.0,28751.0,60,592,11,7,2,150.0,2,9.0,2,0
46,26318.0,3613.0,36,527,2,2,3,150.0,0,5.0,1,0
38,33426.0,24528.0,60,552,14,2,2,9.0,1,7.0,2,0
42,22174.0,19848.0,60,700,0,2,2,144.0,1,7.0,1,0
57,16586.0,20805.0,36,522,4,8,0,149.0,1,5.0,1,0
36,57552.0,9988.0,60,428,8,4,5,142.0,1,4.0,1,1
29,54278.0,2841.0,36,685,5,1,3,95.0,1,7.0,1,0
46,42312.0,4551.0,36,447,1,1,1,150.0,1,5.0,2,0
40,42375.0,10501.0,36,572,4,10,5,62.0,1,6.0,1,0
44,49554.0,1322.0,36,612,8,8,7,150.0,1,4.0,2,0
41,17797.0,11370.0,36,520,2,1,2,73.0,1,6.0,2,0
36,72968.0,18818.0,60,412,3,8,4,150.0,1,6.0,1,0
41,32233.0,16610.0,72,698,0,3,0,113.0,0,6.0,1,0
38,46873.0,2307.0,60,363,9,1,0,20.0,2,5.0,3,0
50,8214.0,28343.0,60,456,9,3,10,150.0,1,5.0,1,1
47,58600.0,9809.0,36,506,7,13,4,113.0,1,6.0,1,0
33,25453.0,1954.0,36,748,1,5,1,150.0,0,3.0,1,1
29,38897.0,23285.0,36,588,14,9,3,150.0,0,5.0,3,0
32,33950.0,7329.0,60,574,9,9,4,55.0,0,5.0,2,0
43,70763.0,1898.0,36,490,1,6,5,150.0,2,3.0,1,0
39,50930.0,4817.0,36,332,18,1,2,150.0,2,5.0,2,0
34,57129.0,6000.0,36,445,1,7,1,106.0,1,6.0,2,0
27,67595.0,1780.0,60,743,10,0,3,97.0,2,7.0,2,0
61,25909.0,17888.0,60,816,4,10,0,32.0,1,4.0,2,1
26,32508.0,10573.0,36,736,4,3,1,11.0,0,7.0,2,0
56,42283.0,19002.0,60,742,8,0,2,134.0,1,7.0,1,0
46,26731.0,34395.0,36,514,2,4,0,4.0,1,8.0,2,0
47,70010.0,24780.0,36,442,5,12,3,123.0,2,6.0,2,0
55,22929.0,3201.0,36,572,0,0,2,150.0,0,5.0,1,0
51,17494.0,10677.0,36,567,4,1,2,150.0,0,6.0,2,1
35,16248.0,16826.0,36,517,3,2,2,150.0,1,5.0,2,1
32,51929.0,50000.0,36,374,10,7,2,28.0,4,7.0,1,0
33,58318.0,12260.0,60,485,1,1,5,136.0,0,6.0,1,1
43,26305.0,38939.0,60,598,0,3,0,136.0,0,7.0,1,0
37,33430.0,20781.0,36,316,16,3,2,150.0,1,6.0,1,0
33,46304.0,2408.0,36,791,5,3,1,42.0,0,6.0,1,0
32,85692.0,4024.0,60,828,12,8,8,150.0,1,6.0,1,0
43,112936.0,34355.0,36,364,3,16,0,5.0,3,6.0,1,0
48,37826.0,4795.0,60,685,17,8,5,0.0,1,8.0,2,0
27,35314.0,15687.0,36,375,7,3,3,56.0,0,8.0,2,0
43,35721.0,892.0,36,353,7,2,3,106.0,1,6.0,2,0
50,25517.0,6447.0,36,600,0,2,1,150.0,1,4.0,1,1
35,38343.0,2227.0,36,641,14,3,2,102.0,1,8.0,1,0
26,39803.0,15861.0,60,626,9,0,3,150.0,1,7.0,1,0
51,21184.0,6780.0,36,683,0,2,2,130.0,0,5.0,2,1
42,48203.0,33530.0,36,574,7,12,2,35.0,1,6.0,2,0
32,38187.0,14412.0,60,618,7,10,5,94.0,0,5.0,2,0
